taxid	scientific_name	domain
11881		Viruses
11882		Viruses
11884		Viruses
11885		Viruses
11886		Viruses
11887		Viruses
11888		Viruses
11889		Viruses
11894		Viruses
11899		Viruses
11901		Viruses
11902		Viruses
11903		Viruses
11904		Viruses
11905		Viruses
11906		Viruses
11907		Viruses
11908		Viruses
11909		Viruses
11913		Viruses
11915		Viruses
11916		Viruses
11921		Viruses
11922		Viruses
11923		Viruses
11926		Viruses
11927		Viruses
11928		Viruses
11932		Viruses
11935		Viruses
11936		Viruses
11938		Viruses
11942		Viruses
11945		Viruses
11946		Viruses
11948		Viruses
11949		Viruses
11950		Viruses
11955		Viruses
11957		Viruses
11958		Viruses
11960		Viruses
11961		Viruses
11963		Viruses
11965		Viruses
11966		Viruses
11968		Viruses
11970		Viruses
11971		Viruses
11973		Viruses
11974		Viruses
11976		Viruses
11977		Viruses
11978		Viruses
11979		Viruses
11980		Viruses
11981		Viruses
11982		Viruses
11983		Viruses
11984		Viruses
11985		Viruses
11986		Viruses
11987		Viruses
11988		Viruses
12036		Viruses
12037		Viruses
12039		Viruses
12041		Viruses
12042		Viruses
12043		Viruses
12044		Viruses
12045		Viruses
12046		Viruses
12047		Viruses
12048		Viruses
12049		Viruses
12050		Viruses
12051		Viruses
12054		Viruses
12055		Viruses
12056		Viruses
12057		Viruses
12058		Viruses
12059		Viruses
12060		Viruses
12062		Viruses
12063		Viruses
12064		Viruses
12065		Viruses
12066		Viruses
12067		Viruses
12068		Viruses
12069		Viruses
12070		Viruses
12071		Viruses
12072		Viruses
12073		Viruses
12074		Viruses
12075		Viruses
12076		Viruses
12077		Viruses
12078		Viruses
12079		Viruses
12080		Viruses
12081		Viruses
12082		Viruses
12083		Viruses
12084		Viruses
12085		Viruses
12086		Viruses
12087		Viruses
12088		Viruses
12089		Viruses
12090		Viruses
12091		Viruses
12092		Viruses
12093		Viruses
12097		Viruses
12098		Viruses
12099		Viruses
12100		Viruses
12101		Viruses
12102		Viruses
12103		Viruses
12104		Viruses
12105		Viruses
12106		Viruses
12107		Viruses
12109		Viruses
12110		Viruses
12111		Viruses
12112		Viruses
12113		Viruses
12114		Viruses
12115		Viruses
12116		Viruses
12117		Viruses
12118		Viruses
12120		Viruses
12121		Viruses
12122		Viruses
12123		Viruses
12124		Viruses
12125		Viruses
12126		Viruses
12127		Viruses
12130		Viruses
12131		Viruses
12132		Viruses
12134		Viruses
12135		Viruses
12136		Viruses
12137		Viruses
12138		Viruses
12139		Viruses
12141		Viruses
12142		Viruses
12143		Viruses
12144		Viruses
12145		Viruses
12146		Viruses
12147		Viruses
12148		Viruses
12149		Viruses
12150		Viruses
12151		Viruses
12152		Viruses
12153		Viruses
12154		Viruses
12155		Viruses
